ArtID;NavnDansk;LatArt
7618;blød seglmos;Pseudocalliergon lycopodioides
7619;orm-skebladsmos;Pseudocalliergon trifarium
7620;rullerandslægten;Pseudocrossidium
7621;spids rullerand;Pseudocrossidium hornschuchianum
7622;skrue-rullerand;Pseudocrossidium revolutum
7623;mørkmosslægten;Pseudoleskeella
7624;rebmosslægten;Pterigynandrum
7625;tråd-rebmos;Pterigynandrum filiforme
7626;fugleklomosslægten;Pterogonium
7627;tæt fugleklomos;Pterogonium gracile
7628;vingenerveslægten;Pterygoneurum
7629;langhåret vingenerve;Pterygoneurum ovatum
7630;kammosslægten;Ptilium
7631;fjer-kammos;Ptilium crista-castrensis
7632;foldhættefamilien;Ptychomitriaceae
7633;foldhætteslægten;Ptychomitrium
7634;mangebladet foldhætte;Ptychomitrium polyphyllum
7635;aspemosslægten;Pylaisia
7636;mangefrugtet aspemos;Pylaisia polyantha
7637;børstemosslægten;Racomitrium
7638;butbladet børstemos;Racomitrium aciculare
7639;spinkel børstemos;Racomitrium affine
7640;kilde-børstemos;Racomitrium aquaticum
7641;sand-børstemos;Racomitrium canescens
7642;lang børstemos;Racomitrium elongatum
7643;tætgrenet børstemos;Racomitrium ericoides
7644;knippe-børstemos;Racomitrium fasciculare
7645;sten-børstemos;Racomitrium heterostichum
7646;;Racomitrium heterostichum var. heterostichum
7647;stor børstemos;Racomitrium lanuginosum
7648;småfrugtet børstemos;Racomitrium microcarpum
7649;kyst-børstemos;Racomitrium obtusum
7650;sudeter-børstemos;Racomitrium sudeticum
7651;tuemosslægten;Rhabdoweisia
7652;bæger-tuemos;Rhabdoweisia fugax
7653;bredbladslægten;Rhizomnium
7654;kær-bredblad;Rhizomnium pseudopunctatum
7655;almindelig bredblad;Rhizomnium punctatum
7656;rosetmosslægten;Rhodobryum
7657;stor rosetmos;Rhodobryum roseum
7658;glansmosslægten;Rhynchostegiella
7659;tæt glansmos;Rhynchostegiella tenella
7660;langnæbslægten;Rhynchostegium
7661;skov-langnæb;Rhynchostegium confertum
7662;bredbladet langnæb;Rhynchostegium megapolitanum
7663;mur-langnæb;Rhynchostegium murale
7664;kransemosslægten;Rhytidiadelphus
7665;ulvefod-kransemos;Rhytidiadelphus loreus
7666;plæne-kransemos;Rhytidiadelphus squarrosus
7667;stor kransemos;Rhytidiadelphus triquetrus
7668;krogblad;Sanionia
7669;stribet krogblad;Sanionia uncinata
7670;strålekransmosslægten;Schistidium
7671;grå strålekransmos;Schistidium apocarpum
7672;mørk strålekransmos;Schistidium brunnescens
7673;tyk strålekransmos;Schistidium crassipilum
7674;lang strålekransmos;Schistidium elegantulum
7675;strand-strålekransmos;Schistidium maritimum
7676;papil-strålekransmos;Schistidium papillosum
7677;bæk-strålekransmos;Schistidium rivulare
7678;lysmosslægten;Schistostega
7679;almindelig lysmos;Schistostega pennata
7680;skyggemosfamilien;Schistostegaceae
7681;fedtmosslægten;Scleropodium
7682;hulbladet fedtmos;Scleropodium purum
7683;ru fedtmos;Scleropodium touretii
7684;skorpionmosslægten;Scorpidium
7685;stor skorpionmos;Scorpidium scorpidioides
7686;kalkmosslægten;Seligeria
7687;skygge-kalkmos;Seligeria calcarea
7688;kalkmosfamilien;Seligeriaceae
7689;;Sharpiella
7690;møgmosfamilien;Splachnaceae
7691;møgmosslægten;Splachnum
7692;pære-møgmos;Splachnum ampullaceum
7693;rubladet møgmos;Splachnum vasculosum
7694;;Straminergon
7695;tråd-skebladsmos;Straminergon stramineum
7696;snohårslægten;Streblotrichum
7697;violet snohår;Streblotrichum convolutum
7698;hårstjerneslægten;Syntrichia
7699;kalk-hårstjerne;Syntrichia calcicola
7700;træ-hårstjerne;Syntrichia laevipila
7701;butbladet hårstjerne;Syntrichia latifolia
7702;bark-hårstjerne;Syntrichia papillosa
